name,created_at,total_pulls,total_releases,updated_at,language,closed_issues_ratio
moby,2013-01-18T18:10:57Z,19962,188,2024-08-25T20:46:14Z,Go,0.86
Front-End-Checklist,2017-10-16T10:12:36Z,176,1,2024-08-25T19:18:12Z,,0.89
node,2023-02-01T13:55:02Z,113,34,2024-08-25T20:10:37Z,Shell,0.9
github-readme-stats,2020-07-09T10:34:22Z,1135,0,2024-08-25T20:55:43Z,JavaScript,0.9
reveal.js,2011-06-07T18:54:22Z,402,47,2024-08-25T18:03:14Z,JavaScript,0.69
flask,2010-04-06T11:11:59Z,1570,34,2024-08-25T19:53:07Z,Python,1.0
code-server,2019-02-27T16:50:41Z,1471,161,2024-08-25T20:26:59Z,TypeScript,0.97
stable-diffusion,2022-08-10T14:36:44Z,5,0,2024-08-25T20:29:00Z,Jupyter Notebook,0.27
funNLP,2018-08-21T11:20:39Z,14,0,2024-08-25T19:56:01Z,Python,0.18
swift,2015-10-23T21:15:07Z,49920,53,2024-08-25T15:40:10Z,C++,0.57
awesome-for-beginners,2015-10-24T19:53:36Z,335,0,2024-08-25T20:28:01Z,,0.78
ui,2023-01-04T12:43:27Z,346,16,2024-08-25T20:08:24Z,TypeScript,0.86
vite,2020-04-21T05:03:57Z,4492,461,2024-08-25T17:58:57Z,TypeScript,0.94
whisper,2022-09-16T20:02:54Z,95,10,2024-08-25T18:58:57Z,Python,0
nest,2017-02-04T20:12:52Z,6351,97,2024-08-25T20:32:42Z,TypeScript,0.99
cs-video-courses,2016-10-21T17:02:11Z,150,0,2024-08-25T21:06:32Z,,0.98
v2rayN,2019-07-30T03:47:24Z,139,185,2024-08-25T20:49:42Z,C#,0.99
HowToCook,2020-02-29T10:43:49Z,503,3,2024-08-25T17:54:14Z,Dockerfile,0.44
redis,2009-03-21T22:32:25Z,3807,69,2024-08-25T19:11:54Z,C,0.69
devops-exercises,2019-10-03T17:31:21Z,274,0,2024-08-25T21:02:58Z,Python,0.67
protobuf,2014-08-26T15:52:15Z,5757,164,2024-08-25T19:00:37Z,C++,0.96
playwright,2019-11-15T18:32:42Z,12953,131,2024-08-25T20:10:53Z,TypeScript,0.96
awesome-machine-learning,2014-07-15T19:11:19Z,836,0,2024-08-25T21:05:17Z,Python,0.99
express,2009-06-26T18:56:01Z,327,153,2024-08-25T20:49:06Z,JavaScript,0.97
webpack,2012-03-10T10:08:14Z,4713,415,2024-08-25T09:33:29Z,JavaScript,0.99
Chart.js,2013-03-17T23:56:36Z,2956,110,2024-08-25T18:57:31Z,JavaScript,0.95
awesome-react,2014-08-06T05:31:44Z,777,0,2024-08-25T21:02:47Z,,0.97
llama.cpp,2023-03-10T18:58:00Z,3102,1000,2024-08-25T20:12:01Z,C++,0.91
grafana,2013-12-11T15:59:56Z,45477,442,2024-08-25T18:28:09Z,TypeScript,0.89
hoppscotch,2019-08-21T13:15:24Z,1499,47,2024-08-25T19:54:28Z,TypeScript,0.76
gpt_academic,2023-03-20T09:05:13Z,192,30,2024-08-25T16:21:23Z,Python,0.8
fzf,2013-10-23T16:04:23Z,505,49,2024-08-25T20:52:50Z,Go,0.91
syncthing,2013-11-26T09:48:21Z,2525,378,2024-08-25T17:07:09Z,Go,0.94
interviews,2017-02-14T18:19:25Z,42,0,2024-08-25T20:32:20Z,Java,0.43
33-js-concepts,2018-09-04T13:27:04Z,238,0,2024-08-25T19:20:22Z,JavaScript,0.92
sway,2021-01-19T20:54:33Z,3034,145,2024-08-25T18:10:19Z,Rust,0.74
strapi,2015-09-30T15:34:48Z,8231,385,2024-08-25T20:45:17Z,TypeScript,0.93
system-design-101,2023-09-18T20:52:03Z,21,0,2024-08-25T19:23:46Z,,0.33
ansible,2012-03-06T14:58:02Z,38246,99,2024-08-25T19:57:00Z,Python,0.98
javascript-questions,2019-06-12T08:26:27Z,328,0,2024-08-25T20:37:45Z,,0.96
the-algorithm,2023-03-27T14:57:57Z,2,0,2024-08-25T20:34:55Z,Scala,0.72
cpython,2017-02-10T19:23:51Z,44420,0,2024-08-25T20:51:52Z,Python,0.9
resume.github.com,2011-02-06T13:39:55Z,84,0,2024-08-25T20:54:51Z,JavaScript,0.54
manim,2015-03-22T18:50:58Z,574,10,2024-08-25T16:51:58Z,Python,0.64
keras,2015-03-28T00:35:42Z,3582,70,2024-08-25T18:18:41Z,Python,0.98
superset,2015-07-21T18:55:34Z,13035,205,2024-08-25T20:06:35Z,TypeScript,0.94
Ventoy,2020-03-10T15:19:19Z,279,97,2024-08-25T20:49:48Z,C,0.69
generative-ai-for-beginners,2023-06-19T16:28:59Z,249,0,2024-08-25T20:53:29Z,Jupyter Notebook,0.92
socket.io,2010-03-11T18:24:48Z,429,63,2024-08-25T19:18:25Z,TypeScript,0.95
redux,2015-05-29T23:53:15Z,1685,78,2024-08-25T03:21:49Z,TypeScript,0.98
d2l-zh,2017-08-23T04:40:24Z,1020,16,2024-08-25T16:50:10Z,Python,0
Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,413,0,2024-08-25T17:41:58Z,,0.63
tesseract,2014-08-12T18:04:59Z,1379,32,2024-08-25T18:54:13Z,C++,0.85
nocode,2018-02-06T23:54:00Z,1,1,2024-08-25T16:17:51Z,Dockerfile,0.14
atom,2012-01-20T18:18:21Z,3937,538,2024-08-25T19:30:41Z,JavaScript,0.94
echarts,2013-04-03T03:18:59Z,1309,116,2024-08-25T20:48:34Z,TypeScript,0.89
awesome-public-datasets,2014-11-20T06:20:50Z,188,1,2024-08-25T20:06:26Z,,0.42
gpt4free,2023-03-29T17:00:43Z,554,144,2024-08-25T20:40:44Z,Python,0.98
markdown-here,2012-05-13T03:27:22Z,20,11,2024-08-25T02:04:42Z,JavaScript,0.41
architect-awesome,2018-04-06T13:30:58Z,49,0,2024-08-25T06:52:18Z,,0.31
lodash,2012-04-07T04:11:46Z,580,2,2024-08-25T18:28:35Z,JavaScript,0.99
Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,484,0,2024-08-25T18:12:22Z,Nunjucks,0.81
PayloadsAllTheThings,2016-10-18T07:29:07Z,518,3,2024-08-25T19:45:56Z,Python,0
scikit-learn,2010-08-17T09:43:38Z,12312,42,2024-08-25T17:41:17Z,Python,0.86
jquery,2009-04-03T15:20:14Z,747,10,2024-08-25T20:08:03Z,JavaScript,0.97
imgui,2014-07-21T14:29:47Z,361,100,2024-08-25T20:00:12Z,C++,0.85
angular.js,2010-01-06T00:34:37Z,790,0,2024-08-25T09:03:13Z,JavaScript,0.96
obs-studio,2013-10-01T02:40:31Z,4791,208,2024-08-25T18:37:50Z,C,0.87
openai-cookbook,2022-03-11T02:08:53Z,568,0,2024-08-25T20:21:30Z,MDX,0.93
shadowsocks-windows,2013-01-14T07:54:16Z,278,55,2024-08-25T20:39:54Z,C#,0.94
awesome-cpp,2014-07-17T08:51:11Z,708,0,2024-08-25T20:17:47Z,,0.4
fuel-core,2020-08-27T21:12:14Z,1062,94,2024-08-25T16:32:11Z,Rust,0.8
Java,2016-07-16T10:21:02Z,1417,0,2024-08-25T20:21:35Z,Java,1.0
design-resources-for-developers,2020-05-06T14:40:35Z,908,0,2024-08-25T20:15:44Z,,1.0
tabby,2016-12-23T09:06:10Z,1458,187,2024-08-25T20:40:14Z,TypeScript,0.62
awesome-scalability,2017-12-27T03:46:40Z,33,0,2024-08-25T20:01:55Z,,0
awesome-nodejs,2014-07-11T13:35:34Z,410,0,2024-08-25T17:43:50Z,,0.98
Apollo-11,2014-04-03T15:45:02Z,327,0,2024-08-25T16:57:45Z,Assembly,0.84
